#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
250,systemic sepsis,205;35,SET OF CODES,,,"NSQIP Definition (2004): The body's response to insult can be documented as one of three levels with each successive level building on the previous level. You should only document the highest level identified using the criteria below. 1. SIRS (Systemic Inflammatory Response Syndrome): SIRS is a widespread inflammatory response to a variety of severe clinical insults. This syndrome is clinically recognized by the presence of two or more of the following: - Temp >38 degrees C or <36 degrees C - HR >90 bpm - RR >20 breaths/min or PaCO2 <32 mmHg(<4.3 kPa) - WBC >12,000 cell/mm3, <4000 cells/mm3, or >10% immature (band) forms - Anion gap acidosis (this is defined by [sodium + potassium] - [chloride + CO2]. If this number is greater than 12, then an anion gap acidosis is present. 2. Sepsis: Sepsis is the systemic response to infection. Report this variable if the patient has clinical signs and symptoms of SIRS listed above and one of the following: - positive blood culture - clinical documentation of purulence or positive culture from any site thought to be causative 3. Severe Sepsis/Septic Shock: Sepsis is considered severe when it is associated with organ and/or circulatory dysfunction. Report this variable if the patient has the clinical signs and symptoms of SIRS or sepsis AND documented organ and/or circulatory dysfunction. Examples of organ dysfunction include: oliguria, acute alteration in mental status, acute respiratory distress. Examples of circulatory dysfunction include: hypotension, requirement of inotropic or vasopressor agents. *For the patient that had sepsis preoperatively, worsening of any of the above signs postoperatively would be reported as a postoperative sepsis. Examples: A patient comes into the emergency room with signs of sepsis - WBC 31, Temperature 104. CT shows an abdominal abscess. He is given antibiotics and is then taken emergently to the OR to drain the abscess. He receives antibiotics intraoperatively. Postoperatively his WBC and Temperature are trending down. POD#1 WBC 24, Temp 102 POD#2 WBC 14, Temp 100 POD#3 WBC 10, Temp 99 This patient does not have postoperative sepsis as his WBC and Temperature are improving each postoperative day. Patient comes into the ER with s/s of sepsis - WBC 31, Temp 104. CT shows an abdominal abscess. He is given antibiotics and is taken emergently to the OR to drain the abscess. He receives antibiotics intraoperatively. Postoperatively his WBC and Temp are as follows: POD#1 WBC 28, Temp 103 POD#2 WBC 24, Temp 102.6 POD#3 WBC 22, Temp 102 POD#4 WBC 21, Temp 101.6 POD#5 WBC 30, Temp 104 This patient does have postoperative sepsis because on postoperative day #5, his WBC and Temperature increase. The patient is having worsening of the defined signs of sepsis."
251,pneumonia,205;10,SET OF CODES,,,"NSQIP Definition (2004): Inflammation of the lungs caused primarily by bacteria, viruses, and/or chemical irritants, usually manifested by chills, fever, pain in the chest, cough, purulent, bloody sputum. Enter YES if the patient has pneumonia meeting the definition of pneumonia below AND pneumonia not present preoperatively. Pneumonia must meet one of the following TWO criteria: Criterion 1. Rales or dullness to percussion on physical examination of chest AND any of the following: a. New onset of purulent sputum or change in character of sputum b. Organism isolate from blood culture c. Isolation of pathogen from specimen obtained by transtracheal aspirate, bronchial brushing, or biopsy OR Criterion 2. Chest radiographic examination shows new or progressive infiltrate, consolidation, cavitation, or pleural effusion AND any of the following: a. New onset of purulent sputum or change in character of sputum b. Organism isolated from the blood c. Isolation of pathogen from specimen obtained by transtracheal aspirate, bronchial brushing, or biopsy d. Isolation of virus or detection of viral antigen in respiratory secretions e. Diagnostic single antibody titer (IgM) or fourfold increase in paired serum samples (IgG) for pathogen f. Histopathologic evidence of pneumonia"
252,pulmonary embolism,205;12,SET OF CODES,,,"NSQIP Definition (2004): Lodging of a blood clot in a pulmonary artery with subsequent obstruction of blood supply to the lung parenchyma. The blood clots usually originate from the deep leg veins or the pelvic venous system. Enter ""YES"" if the patient has a V-Q scan interpreted as high probability of pulmonary embolism or a positive pulmonary arteriogram or positive CT angiogram. Treatment usually consists of: - Initiation of anticoagulation therapy - Placement of mechanical interruption (e.g. Greenfield Filter), for patients in whom anticoagulation is contraindicated or already instituted."
253,other respiratory occurrence,205;14,POINTER,,,NSQIP Definition (2004): Enter any other respiratory occurrences that you feel to be significant and that are not covered by the predefined respiratory occurrence categories. Enter the ICD-9-CM code for this entry.
254,acute renal failure,205;17,SET OF CODES,,,"NSQIP Definition (2004): In a patient who did not require dialysis preoperatively, worsening of renal dysfunction postoperatively requiring hemodialysis, ultrafiltration, or peritoneal dialysis. TIP: If the patient refuses dialysis the answer is YES to this variable, because he/she did require dialysis. CICSP Definition (2004): Indicate if the patient developed new renal failure requiring dialysis or experienced an exacerbation of preoperative renal failure requiring initiation of dialysis (not on dialysis preoperatively) within 30 days postoperatively. (Dialysis includes continuous venous to venous hemodialysis [CVVHD], continuous venous to arterial hemodialysis [CVAHD], and peritoneal. It does not include ultrafiltration.)"
255,urinary tract infection,205;18,SET OF CODES,,,"NSQIP Definition (2004): Postoperative symptomatic urinary tract infection must meet one of the following TWO criteria: 1. One of the following: fever (>38 degrees C), urgency, frequency, dysuria, or suprapubic tenderness AND a urine culture of >100,000 colonies/ml urine with no more than two species of organisms OR 2. Two of the following: fever (>38 degrees C), urgency, frequency, dysuria, or suprapubic tenderness AND any of the following: - Dipstick test positive for leukocyte esterase and/or nitrate - Pyuria (>10 WBCs/cc or >3 WBC/hpf of unspun urine) - Organisms seen on Gram stain of unspun urine - Two urine cultures with repeated isolation of the same uropathogen with >100 colonies/ml urine in non-voided specimen - Urine culture with <100,000 colonies/ml urine of single uropathogen in patient being treated with appropriate antimicrobial therapy - Physician's diagnosis - Physician institutes appropriate antimicrobial therapy"
256,stroke/cva,205;21,SET OF CODES,,,"NSQIP Definition (2004): Patient develops an embolic, thrombotic, or hemorrhagic vascular accident or stroke with motor, sensory, or cognitive dysfunction (e.g., hemiplegia, hemiparesis, aphasia, sensory deficit, impaired memory) that persist for 24 or more hours. CICSP Definition (2004): Indicate if there was any new objective neurologic deficit lasting > 72 hours with onset immediately post-operatively or occurring within the 30 days after surgery."
257,postop bleeding/transfusions,205;32,SET OF CODES,,,"NSQIP Definition (2004): Any transfusion (including autologous) of packed red blood cells or whole blood given from the time the patient leaves the operating room up to and including 72 hours postoperatively. Enter YES for five or more units of packed red blood cell units in the postoperative period including hanging blood from the OR that is finished outside of the OR. If the patient receives shed blood, autologous blood, cell saver blood or pleurovac postoperatively, this is counted if greater than four units. The blood may be given for any reason."
258,myocardial infarction,205;27,SET OF CODES,,,"NSQIP Definition (2004): A new transmural acute myocardial infarction occurring during surgery or within 30 days following surgery as manifested by new Q-waves on ECG. Non-Q-wave infarctions should be entered under ""OTHER""."
259,pulmonary edema,205;28,SET OF CODES,,,This determines whether the patient has developed postoperative distress requiring treatment and diagnosis of CHF or pulmonary edema or Adult Respiratory Distress Syndrome.
260,date transmitted,RA;4,DATE-TIME,,,This is the date (or date/time) that this surgery risk assessment was transmitted.
260.1,date of last transmission,RA;8,DATE-TIME,,,"This is the date of the retransmission if this risk assessment has been retransmitted to the national database. An assessment can be updated and retransmitted within 14 days of the original transmission date. If there was no retransmission of this assessment, this is the date of the original transmission."
261,graft/prosthesis/flap failure,205;33,SET OF CODES,,,"NSQIP Definition (2004): Mechanical failure of an extracardiac graft/or prosthesis including myocutaneous flaps and skin grafts requiring return to the operating room, interventional radiology, or a balloon angioplasty."
